contest_name,smd_anc_votes,explicit_candidates,ward_ballots,over_votes,under_votes,ward_anc_votes,anc,smd,year,ward,winner,winner_votes,write_in_votes,smd_ballots
20000000,578,1,29886,NA,NA,19859,E,7,2012,2,CHARLES F. EASON JR,555,23,NA
200000000,259,1,29886,NA,NA,19859,E,8,2012,2,PETER PRINDIVILLE,243,16,NA
2F01,742,1,29886,NA,NA,19859,F,1,2012,2,PETER LALLAS,707,35,NA
2F02,722,3,29886,NA,NA,19859,F,2,2012,2,WALT CAIN,335,8,NA
2F03,805,1,29886,NA,NA,19859,F,3,2012,2,CHRIS LINN,776,29,NA
2F04,692,2,29886,NA,NA,19859,F,4,2012,2,JOHN FANNING,359,12,NA
2F05,522,1,29886,NA,NA,19859,F,5,2012,2,JIM LAMARE,506,16,NA
2F06,697,1,29886,NA,NA,19859,F,6,2012,2,GREG MELCHER,679,18,NA
2F07,486,1,29886,NA,NA,19859,F,7,2012,2,MATT RAYMOND,470,16,NA
2F08,535,2,29886,NA,NA,19859,F,8,2012,2,MATTHEW CONNOLLY,283,12,NA
3B01,687,1,39051,NA,NA,26469,B,1,2012,3,JOE FIORILLO,673,14,NA
3B02,650,1,39051,NA,NA,26469,B,2,2012,3,JACKIE BLUMENTHAL,622,28,NA
3B03,687,1,39051,NA,NA,26469,B,3,2012,3,CHARLES CINQUE FULWOOD,660,27,NA
3B04,824,1,39051,NA,NA,26469,B,4,2012,3,MARY C. YOUNG,801,23,NA
3B05,733,1,39051,NA,NA,26469,B,5,2012,3,BRIAN A. COHEN,692,41,NA
3C01,804,1,39051,NA,NA,26469,C,1,2012,3,LEE BRIAN REBA,781,23,NA
3C02,751,2,39051,NA,NA,26469,C,2,2012,3,GWENDOLYN BOLE,546,9,NA
3C03,812,2,39051,NA,NA,26469,C,3,2012,3,JEFFREY KALIEL,471,28,NA
3C04,615,1,39051,NA,NA,26469,C,4,2012,3,RICHARD STEACY,594,21,NA
3C05,886,1,39051,NA,NA,26469,C,5,2012,3,MARGARET A. SIEGEL,856,30,NA
3C06,784,1,39051,NA,NA,26469,C,6,2012,3,CARL ROLLER,757,27,NA
3C07,676,1,39051,NA,NA,26469,C,7,2012,3,VICTOR SILVEIRA,654,22,NA
3C08,719,1,39051,NA,NA,26469,C,8,2012,3,CATHERINE MAY,687,32,NA
3C09,784,1,39051,NA,NA,26469,C,9,2012,3,NANCY J. MACWOOD,755,29,NA
3D01,957,2,39051,NA,NA,26469,D,1,2012,3,KENT SLOWINSKI,531,7,NA
3D02,448,1,39051,NA,NA,26469,D,2,2012,3,TOM SMITH,429,19,NA
3D03,643,1,39051,NA,NA,26469,D,3,2012,3,NAN S. WELLS,619,24,NA
3D04,757,1,39051,NA,NA,26469,D,4,2012,3,STU ROSS,721,36,NA
3D05,583,2,39051,NA,NA,26469,D,5,2012,3,W. PHILIP THOMAS,355,50,NA
3D06,193,0,39051,NA,NA,26469,D,6,2012,3,WRITE-IN,193,193,NA
3D07,54,0,39051,NA,NA,26469,D,7,2012,3,WRITE-IN,54,54,NA
3D08,505,1,39051,NA,NA,26469,D,8,2012,3,MICHAEL GOLD,473,32,NA
3D09,749,2,39051,NA,NA,26469,D,9,2012,3,GAYLE TROTTER,686,12,NA
3D10,253,2,39051,NA,NA,26469,D,10,2012,3,JOE WISNIEWSKI,165,0,NA
30,754,1,39051,NA,NA,26469,E,1,2012,3,ELIZABETH S. HAILE,719,35,NA
300,828,1,39051,NA,NA,26469,E,2,2012,3,MATTHEW FRUMIN,804,24,NA
3000,729,1,39051,NA,NA,26469,E,3,2012,3,JONATHAN BENDER,688,41,NA
30000,815,1,39051,NA,NA,26469,E,4,2012,3,TOM QUINN,767,48,NA
300000,517,1,39051,NA,NA,26469,E,5,2012,3,SAMUEL J. SEREBIN,474,43,NA
3F01,621,1,39051,NA,NA,26469,F,1,2012,3,ADAM SCOTT TOPE,604,17,NA
3F02,686,1,39051,NA,NA,26469,F,2,2012,3,KAREN LEE PERRY,665,21,NA
3F03,782,1,39051,NA,NA,26469,F,3,2012,3,MARY BETH RAY,746,36,NA
