contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes,commissioner_name,match,vacant,switcharoo,substantive_write_in,absent,empty
3G05,2018,3,G,5,974,827,2,Jerry Malitz,449,17,0,147,Jerry Malitz,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3G06,2018,3,G,6,947,753,1,Dan Bradfield,726,27,0,194,Dan Bradfield,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
3G07,2018,3,G,7,885,698,1,Chris Fromboluti,678,20,0,187,Chris Fromboluti,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4A01,2018,4,A,1,1017,920,2,Phyllis Green,542,19,0,97,Phyllis Caudle Green,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4A02,2018,4,A,2,1150,1092,2,Stacey Lincoln,613,7,0,58,Stacey Lincoln,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4A03,2018,4,A,3,654,566,1,Stephen A. Steve Whatley,536,30,0,88,Stephen A. Whatley,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4A04,2018,4,A,4,800,729,2,Patience R. Singleton,463,10,1,70,Patience Singleton,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4A05,2018,4,A,5,447,369,1,Deborah Pope,342,27,0,78,Vacant,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
4A06,2018,4,A,6,385,307,1,Candace Tiana Nelson,297,10,0,78,Candace Tiana Nelson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4A07,2018,4,A,7,664,154,1,WRITE-IN,154,154,0,510,Marlene Moss,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4A08,2018,4,A,8,1153,1021,1,Gale Black,977,44,1,131,Gale B. Black,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4B01,2018,4,B,1,1052,938,2,Evan Yeats,506,17,0,114,Evan Yeats,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4B02,2018,4,B,2,905,815,2,Erin Palmer,601,23,0,90,Erin Palmer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4B03,2018,4,B,3,940,812,1,Scot Knickerbocker,770,42,0,128,Scot Knickerbocker,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4B04,2018,4,B,4,960,856,1,Brenda Parks,819,37,0,104,Brenda Parks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4B05,2018,4,B,5,641,113,1,WRITE-IN,113,113,0,528,Perry Redd,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4B06,2018,4,B,6,971,814,1,Natalee S. Snider,642,172,0,157,Tiffani Nichole Johnson,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
4B07,2018,4,B,7,1301,1206,3,Geoff Bromaghim,528,15,0,95,Geoff Bromaghim,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4B08,2018,4,B,8,950,863,2,Alison Brooks,657,26,0,87,Alison Brooks,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4B09,2018,4,B,9,1052,1018,2,La Roya A. Huff,515,6,1,33,LaRoya A. Huff,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C01,2018,4,C,1,712,653,2,Charlotte Nugent,495,16,0,59,Charlotte Nugent,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C02,2018,4,C,2,975,817,1,Maria Barry,761,56,0,158,Maria Barry,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C03,2018,4,C,3,819,684,2,Ulysses E. Campbell,399,21,1,134,Ulysses E. Campbell,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C04,2018,4,C,4,557,160,1,WRITE-IN,160,160,0,397,Nora Simon,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4C05,2018,4,C,5,678,543,2,Debbie Matties,344,15,0,135,Debbie Matties,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C06,2018,4,C,6,1051,850,1,Bennett Hilley,801,49,3,198,Bennett Hilley,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C07,2018,4,C,7,933,801,2,Kim Varzi,651,27,0,132,Kim Varzi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C08,2018,4,C,8,1013,890,1,WRITE-IN,450,450,0,123,Leah Anderson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4C09,2018,4,C,9,842,757,2,Tearsa Coates,472,22,1,84,Tearsa Coates,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4C10,2018,4,C,10,918,779,1,Jonah Goodman,700,79,0,139,Jonah Goodman,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4D01,2018,4,D,1,601,480,1,Peter Tabor,462,18,0,121,Peter Tabor,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4D02,2018,4,D,2,823,751,1,Renee L. Bowser,733,18,0,72,Renée L. Bowser,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4D03,2018,4,D,3,927,764,1,Aaron Polkey,734,30,0,163,Aaron Polkey,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4D04,2018,4,D,4,708,605,1,Jamie Barden,587,18,0,103,Jamie Barden,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4D05,2018,4,D,5,654,545,1,Krystal Branton,521,24,0,109,Krystal Branton,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
4D06,2018,4,D,6,786,659,1,Jonathan Nobil,623,36,0,127,Jonathan Nobil,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5A01,2018,5,A,1,1032,933,2,Frank Wilds,632,19,1,98,Frank Wilds,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5A02,2018,5,A,2,950,855,1,Grace J. Lewis,782,73,0,95,Grace J. Lewis,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5A03,2018,5,A,3,1028,906,2,Emily Singer Lucio,443,33,0,122,Emily Singer Lucio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5A04,2018,5,A,4,18,3,1,WRITE-IN,3,3,0,15,Isaiah Burroughs,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5A05,2018,5,A,5,363,323,2,Ronnie Edwards,167,2,0,40,Ronnie Edwards,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5A06,2018,5,A,6,722,610,1,A. Jamaal Lampkin,567,43,0,112,A. Jamaal Lampkin,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5A07,2018,5,A,7,427,361,1,Sandra Sandi Washington,348,13,1,65,Sandi Washington,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5A08,2018,5,A,8,1089,983,1,Gordon - Andrew Fletcher,934,49,0,106,Gordon-Andrew Fletcher,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5B01,2018,5,B,1,1056,967,1,Gayle Carley,927,40,0,89,Gayle Hall-Carley,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5B02,2018,5,B,2,1006,859,1,Ursula Higgins,800,59,1,146,Ursula Higgins,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5B03,2018,5,B,3,1087,910,1,Henri Makembe,846,64,0,177,Henri Makembe,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5B04,2018,5,B,4,1041,883,1,Ra Amin,843,40,0,158,Ra Amin,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5B05,2018,5,B,5,1023,871,2,Landon Jones,429,28,0,152,Landon Jones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C01,2018,5,C,1,891,798,3,Gail A. Brevard,454,25,0,93,Gail Brevard,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C02,2018,5,C,2,748,675,2,Lauren Rogers,449,15,0,73,Lauren Rogers,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C03,2018,5,C,3,1199,1064,1,Robert Looper III,1031,33,1,134,Robert Looper III,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C04,2018,5,C,4,738,653,1,Jacqueline Manning,618,35,0,85,Jacqueline Manning,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C05,2018,5,C,5,763,657,1,Darlene Oliver,629,28,0,106,Darlene Oliver,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C06,2018,5,C,6,615,553,3,Kirsten Williams,207,7,0,62,Kirsten Williams,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5C07,2018,5,C,7,877,778,2,Jeremiah Montague Jr,571,17,0,99,Jeremiah Montague Jr.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5D01,2018,5,D,1,578,519,2,Ryan Linehan,320,8,1,58,Ryan Linehan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5D02,2018,5,D,2,719,623,1,Keisha L. Shropshire,593,30,1,95,Keisha L. Shropshire,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5D03,2018,5,D,3,716,601,1,Steven Motley,558,43,0,115,Steven C. Motley Sr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5D04,2018,5,D,4,497,437,1,Bernice S Blacknell,424,13,0,60,Bernice S Blacknell,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5D05,2018,5,D,5,474,426,2,Sydelle Moore,299,11,0,48,Sydelle Moore,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5D06,2018,5,D,6,1040,867,2,Jason E. Burkett,423,36,0,173,Jason E. Burkett,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5D07,2018,5,D,7,748,644,1,Clarence Lee,619,25,0,104,Clarence Lee,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E01,2018,5,E,1,841,310,1,WRITE-IN,310,310,0,531,Nick Cheolas,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5E02,2018,5,E,2,447,377,1,Patricia L. Williams,360,17,0,70,Patricia Williams,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E03,2018,5,E,3,1482,1243,2,Cortney Segmen,853,68,1,238,Cortney Segmen,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E04,2018,5,E,4,1024,940,4,Sylvia M. Pinkney,496,9,1,83,Sylvia M. Pinkney,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5E05,2018,5,E,5,969,861,2,Bradley Ashton Thomas,427,11,0,108,Bradley Ashton Thomas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
