contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes,commissioner_name,match,vacant,switcharoo,substantive_write_in,absent,empty
7D03,2018,7,D,3,357,325,3,Dorothy Douglas,219,6,0,32,Dorothy Douglas,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7D04,2018,7,D,4,915,886,2,Cinque E. Culver,499,5,2,27,Cinque E. Culver,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7D05,2018,7,D,5,765,120,1,WRITE-IN,120,120,0,645,Aretha Jackson,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7D06,2018,7,D,6,617,105,1,WRITE-IN,105,105,0,512,Sherice A. Muhammad,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7D07,2018,7,D,7,760,593,1,Artilie Wright,572,21,0,167,Artilie Wright,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7E01,2018,7,E,1,751,691,2,Veda Rasheed,478,14,0,60,Veda Rasheed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7E02,2018,7,E,2,828,725,1,Linda S. Green,663,62,0,103,Linda S. Green,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7E03,2018,7,E,3,428,360,1,Ebbon A. Allen,340,20,1,67,Ebbon A. Allen,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7E04,2018,7,E,4,725,665,2,Takiyah T.N. Tate,452,20,2,58,Takiyah Tate,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7E05,2018,7,E,5,505,405,1,Victor L. Horton,355,50,0,100,Victor L. Horton,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7E06,2018,7,E,6,602,494,1,Delia Houseal,445,49,0,108,Delia Houseal,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7E07,2018,7,E,7,617,552,2,Yolanda Fields,454,51,2,63,Yolanda Fields,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7F01,2018,7,F,1,771,642,1,Tyrell M. Holcomb,615,27,0,129,Tyrell M. Holcomb,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7F02,2018,7,F,2,875,694,1,Terrance Hunter,655,39,0,181,Terrance Hunter,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7F03,2018,7,F,3,453,378,1,Sheila Marie Carson Carr,360,18,0,75,Sheila Carson Carr,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7F04,2018,7,F,4,259,206,2,Charlene Exum,107,19,0,53,Charlene Exum,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7F05,2018,7,F,5,548,504,2,Brittany N. Hughes,274,10,0,44,Brittany N. Hughes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7F06,2018,7,F,6,562,457,1,Carol E. Fletcher,438,19,0,105,Carol E. Fletcher,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7F07,2018,7,F,7,26,2,1,WRITE-IN,2,2,0,24,Vacant,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
8A01,2018,8,A,1,773,722,2,Holly Muhammad,526,8,0,51,Holly Muhammad,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8A02,2018,8,A,2,791,683,1,Barbara J. Clark,644,39,0,108,Barbara J. Clark,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8A03,2018,8,A,3,659,533,1,Brian K Thompson,485,48,1,125,Brian K Thompson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8A04,2018,8,A,4,400,334,1,Troy Donte Prestwood,285,49,0,66,Troy Donte Prestwood,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8A05,2018,8,A,5,619,176,1,WRITE-IN,176,176,0,443,Dorcas Agyei,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8A06,2018,8,A,6,765,713,2,Tyon Jones,341,33,1,51,Tyón Jones,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8A07,2018,8,A,7,703,603,1,Hanna Baker,529,74,0,100,Hanna Baker,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8B01,2018,8,B,1,624,562,2,Leonard Lee Watson JR.,375,10,0,62,Leonard Lee Watson Jr.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8B02,2018,8,B,2,417,319,1,Paul Trantham,286,33,0,98,Paul Trantham,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8B03,2018,8,B,3,571,496,2,Charles H. Wilson,312,48,0,75,Charles H. Wilson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8B04,2018,8,B,4,435,364,1,Darrell Danny Gaston,235,129,1,70,Darrell Danny Gaston,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8B05,2018,8,B,5,378,321,1,Betty Scippio,251,70,0,57,Betty Scippio,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8B06,2018,8,B,6,480,373,1,Humam Abdulmalik,340,33,0,107,Humam Abdulmalik,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8B07,2018,8,B,7,418,96,1,WRITE-IN,96,96,0,322,Keeon Bassett,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8C01,2018,8,C,1,712,595,1,Mike Austin,532,63,0,117,Mike Austin,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8C02,2018,8,C,2,342,309,2,Chyla D. Evans,163,29,0,33,Chyla D. Evans,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8C03,2018,8,C,3,538,155,1,WRITE-IN,155,155,0,383,Robinette Woodland,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8C04,2018,8,C,4,615,572,2,Regina Sharlita Pixley,302,14,0,43,Regina Sharlita Pixley,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8C05,2018,8,C,5,282,217,1,Mustafa Abdul-Salaam,196,21,0,65,Mustafa Abdul-Salaam,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8C06,2018,8,C,6,347,286,1,Rhonda Edwards-Hines,242,44,0,61,Rhonda L. Edwards-Hines,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8C07,2018,8,C,7,594,550,2,Salim Adofo,283,70,0,44,Salim Adofo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8D01,2018,8,D,1,496,417,1,Patricia Pat Carmon,391,26,0,79,Patricia Carmon,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8D02,2018,8,D,2,425,363,1,Olivia L. Henderson,352,11,0,62,Olivia L. Henderson,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8D03,2018,8,D,3,356,272,1,Absalom AB Jordan,256,16,0,84,Absalom Jordan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8D04,2018,8,D,4,295,253,1,Monique T. Diop,240,13,1,41,Monique T. Diop,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8D05,2018,8,D,5,434,337,1,Ellen Armstead,319,18,1,96,Ellen Armstead,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8D06,2018,8,D,6,673,552,1,LaVerne R. Glenn,522,30,0,121,LaVerne R. Glenn,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8D07,2018,8,D,7,430,395,2,Constance Connie Mobley,288,18,0,35,Constance Mobley,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8E01,2018,8,E,1,585,556,3,Joseph B. Johnson,217,34,0,29,Adeoye Owolewa,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
8E02,2018,8,E,2,555,523,3,Cheryl Moore,229,11,1,31,Cheryl Moore,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8E03,2018,8,E,3,364,307,1,Monica Watts,281,26,0,57,Monica Watts,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8E04,2018,8,E,4,679,635,2,Kendall Simmons,326,26,0,44,Kendall Simmons,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8E05,2018,8,E,5,692,566,1,Christopher L. Hawthorne,525,41,0,126,Christopher L. Hawthorne,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8E06,2018,8,E,6,494,395,1,Karlene (K.) Armstead,378,17,0,99,Karlene Armstead,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8E07,2018,8,E,7,597,495,1,Stephen A Slaughter,455,40,0,102,Stephen A. Slaughter,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,FALSE,NA,FALSE,FALSE,FALSE
