,ELECTION_DATE,SMD,CANDIDATE,VOTES,WARD
1909,2014-11-04,8C05,OVER VOTES,0,8
1910,2014-11-04,8C05,UNDER VOTES,100,8
1911,2014-11-04,8C05,W. CARDELL SHELTON,130,8
1912,2014-11-04,8C05,WRITE-IN,24,8
1913,2014-11-04,8C06,NELLA PETERSON,150,8
1914,2014-11-04,8C06,OVER VOTES,0,8
1915,2014-11-04,8C06,RHONDA L. EDWARDS-HINES,290,8
1916,2014-11-04,8C06,UNDER VOTES,142,8
1917,2014-11-04,8C06,WRITE-IN,14,8
1918,2014-11-04,8C07,CHARLES L. LINDSAY,590,8
1919,2014-11-04,8C07,OVER VOTES,0,8
1920,2014-11-04,8C07,UNDER VOTES,176,8
1921,2014-11-04,8C07,WRITE-IN,76,8
1922,2014-11-04,8D01,OVER VOTES,0,8
1923,2014-11-04,8D01,PATRICIA PAT CARMON,530,8
1924,2014-11-04,8D01,UNDER VOTES,204,8
1925,2014-11-04,8D01,WRITE-IN,70,8
1926,2014-11-04,8D02,OLIVIA L. HENDERSON,448,8
1927,2014-11-04,8D02,OVER VOTES,0,8
1928,2014-11-04,8D02,UNDER VOTES,144,8
1929,2014-11-04,8D02,WRITE-IN,22,8
1930,2014-11-04,8D03,"ABSALOM ""AB"" JORDAN",336,8
1931,2014-11-04,8D03,OVER VOTES,0,8
1932,2014-11-04,8D03,UNDER VOTES,152,8
1933,2014-11-04,8D03,WRITE-IN,24,8
1934,2014-11-04,8D04,MONIQUE T. DIOP,190,8
1935,2014-11-04,8D04,OVER VOTES,0,8
1936,2014-11-04,8D04,UNDER VOTES,104,8
1937,2014-11-04,8D04,WRITE-IN,16,8
1938,2014-11-04,8D05,OVER VOTES,0,8
1939,2014-11-04,8D05,"THOMAS RUFFIN, JR.",416,8
1940,2014-11-04,8D05,UNDER VOTES,110,8
1941,2014-11-04,8D05,WRITE-IN,20,8
1942,2014-11-04,8D06,NO CANDIDATE FILED,0,8
1943,2014-11-04,8D06,OVER VOTES,0,8
1944,2014-11-04,8D06,UNDER VOTES,890,8
1945,2014-11-04,8D06,WRITE-IN,124,8
1946,2014-11-04,8D07,OVER VOTES,2,8
1947,2014-11-04,8D07,THERESA H. JONES,508,8
1948,2014-11-04,8D07,UNDER VOTES,194,8
1949,2014-11-04,8D07,WRITE-IN,22,8
1950,2014-11-04,8E01,JOSEPH JOHNSON,302,8
1951,2014-11-04,8E01,MARVIN S. LEE,326,8
1952,2014-11-04,8E01,OVER VOTES,0,8
1953,2014-11-04,8E01,UNDER VOTES,246,8
1954,2014-11-04,8E01,WRITE-IN,22,8
1955,2014-11-04,8E02,ANTHONY MUHAMMAD,344,8
1956,2014-11-04,8E02,MAURICE DICKENS,282,8
1957,2014-11-04,8E02,OVER VOTES,0,8
1958,2014-11-04,8E02,UNDER VOTES,132,8
1959,2014-11-04,8E02,WRITE-IN,40,8
1960,2014-11-04,8E03,ANTHONY (JAMAAL) DAILEY,220,8
1961,2014-11-04,8E03,JEFFREY J. TONEY,98,8
1962,2014-11-04,8E03,OVER VOTES,0,8
1963,2014-11-04,8E03,UNDER VOTES,80,8
1964,2014-11-04,8E03,WRITE-IN,16,8
1965,2014-11-04,8E04,NO CANDIDATE FILED,0,8
1966,2014-11-04,8E04,OVER VOTES,0,8
1967,2014-11-04,8E04,UNDER VOTES,714,8
1968,2014-11-04,8E04,WRITE-IN,222,8
1969,2014-11-04,8E05,CHRISTOPHER L. HAWTHORNE,696,8
1970,2014-11-04,8E05,OVER VOTES,0,8
1971,2014-11-04,8E05,UNDER VOTES,246,8
1972,2014-11-04,8E05,WRITE-IN,74,8
1973,2014-11-04,8E06,KARLENE (K.) ARMSTEAD,364,8
1974,2014-11-04,8E06,OVER VOTES,0,8
1975,2014-11-04,8E06,UNDER VOTES,162,8
1976,2014-11-04,8E06,WRITE-IN,78,8
1977,2014-11-04,8E07,OVER VOTES,0,8
1978,2014-11-04,8E07,S V WILLIAMS,328,8
1979,2014-11-04,8E07,STEPHEN A. SLAUGHTER,386,8
1980,2014-11-04,8E07,UNDER VOTES,188,8
1981,2014-11-04,8E07,WRITE-IN,42,8
1982,2018-11-06,1A01,Ernest Johnson,145,1
1983,2018-11-06,1A01,Layla Bonnot,260,1
1984,2018-11-06,1A01,OVER VOTES,1,1
1985,2018-11-06,1A01,UNDER VOTES,49,1
1986,2018-11-06,1A01,WRITE-IN,10,1
1987,2018-11-06,1A02,Amr Kotb,368,1
1988,2018-11-06,1A02,OVER VOTES,0,1
1989,2018-11-06,1A02,Teresa A. Edmondson,387,1
1990,2018-11-06,1A02,UNDER VOTES,96,1
1991,2018-11-06,1A02,WRITE-IN,8,1
1992,2018-11-06,1A03,OVER VOTES,0,1
1993,2018-11-06,1A03,UNDER VOTES,121,1
1994,2018-11-06,1A03,WRITE-IN,9,1
1995,2018-11-06,1A03,Zach Rybarczyk,437,1
1996,2018-11-06,1A04,Matthew Goldschmidt,515,1
1997,2018-11-06,1A04,OVER VOTES,0,1
1998,2018-11-06,1A04,UNDER VOTES,145,1
1999,2018-11-06,1A04,WRITE-IN,29,1
2000,2018-11-06,1A05,Christine Miller,478,1
2001,2018-11-06,1A05,OVER VOTES,0,1
2002,2018-11-06,1A05,UNDER VOTES,70,1
2003,2018-11-06,1A05,WRITE-IN,18,1
2004,2018-11-06,1A06,Angelica Castanon,725,1
2005,2018-11-06,1A06,OVER VOTES,0,1
2006,2018-11-06,1A06,UNDER VOTES,145,1
2007,2018-11-06,1A06,WRITE-IN,32,1
2008,2018-11-06,1A07,Jen Bundy,652,1
2009,2018-11-06,1A07,OVER VOTES,0,1
2010,2018-11-06,1A07,UNDER VOTES,153,1
2011,2018-11-06,1A07,WRITE-IN,28,1
2012,2018-11-06,1A08,Kent C. Boese,914,1
2013,2018-11-06,1A08,OVER VOTES,1,1
2014,2018-11-06,1A08,UNDER VOTES,102,1
2015,2018-11-06,1A08,WRITE-IN,27,1
2016,2018-11-06,1A09,Michael Wray,573,1
2017,2018-11-06,1A09,OVER VOTES,0,1
2018,2018-11-06,1A09,UNDER VOTES,112,1
2019,2018-11-06,1A09,WRITE-IN,36,1
2020,2018-11-06,1A10,OVER VOTES,0,1
2021,2018-11-06,1A10,Rashida Brown,727,1
2022,2018-11-06,1A10,UNDER VOTES,101,1
2023,2018-11-06,1A10,WRITE-IN,20,1
2024,2018-11-06,1A11,Dotti Love Wade,519,1
2025,2018-11-06,1A11,OVER VOTES,0,1
2026,2018-11-06,1A11,UNDER VOTES,88,1
2027,2018-11-06,1A11,WRITE-IN,35,1
2028,2018-11-06,1A12,NO CANDIDATE FILED,0,1
2029,2018-11-06,1A12,OVER VOTES,0,1
2030,2018-11-06,1A12,UNDER VOTES,531,1
2031,2018-11-06,1A12,WRITE-IN,59,1
2032,2018-11-06,1B01,Anita Norman,734,1
2033,2018-11-06,1B01,OVER VOTES,0,1
2034,2018-11-06,1B01,UNDER VOTES,96,1
2035,2018-11-06,1B01,WRITE-IN,32,1
2036,2018-11-06,1B02,Caleb-Michael Files,349,1
2037,2018-11-06,1B02,Dan Orlaskey,558,1
2038,2018-11-06,1B02,OVER VOTES,1,1
2039,2018-11-06,1B02,UNDER VOTES,283,1
2040,2018-11-06,1B02,WRITE-IN,19,1
2041,2018-11-06,1B03,OVER VOTES,0,1
2042,2018-11-06,1B03,Sedrick Muhammad,540,1
2043,2018-11-06,1B03,UNDER VOTES,127,1
2044,2018-11-06,1B03,WRITE-IN,30,1
2045,2018-11-06,1B04,Jon D. Squicciarini,749,1
2046,2018-11-06,1B04,OVER VOTES,0,1
2047,2018-11-06,1B04,UNDER VOTES,223,1
2048,2018-11-06,1B04,WRITE-IN,35,1
2049,2018-11-06,1B05,Christopher Ede-Calton,297,1
2050,2018-11-06,1B05,James Cordes,322,1
2051,2018-11-06,1B05,OVER VOTES,1,1
2052,2018-11-06,1B05,UNDER VOTES,242,1
2053,2018-11-06,1B05,WRITE-IN,25,1
2054,2018-11-06,1B06,Jen Bristol,625,1
2055,2018-11-06,1B06,OVER VOTES,0,1
2056,2018-11-06,1B06,UNDER VOTES,115,1
2057,2018-11-06,1B06,WRITE-IN,20,1
2058,2018-11-06,1B07,Jessica Smith,305,1
2059,2018-11-06,1B07,OVER VOTES,0,1
2060,2018-11-06,1B07,UNDER VOTES,88,1
2061,2018-11-06,1B07,WRITE-IN,19,1
2062,2018-11-06,1B08,Joshua R. Mater,581,1
2063,2018-11-06,1B08,OVER VOTES,0,1
2064,2018-11-06,1B08,UNDER VOTES,143,1
2065,2018-11-06,1B08,WRITE-IN,14,1
2066,2018-11-06,1B09,James A. Turner,642,1
2067,2018-11-06,1B09,OVER VOTES,0,1
2068,2018-11-06,1B09,UNDER VOTES,136,1
2069,2018-11-06,1B09,WRITE-IN,35,1
2070,2018-11-06,1B10,Danny Delaney,298,1
2071,2018-11-06,1B10,OVER VOTES,0,1
2072,2018-11-06,1B10,UNDER VOTES,42,1
2073,2018-11-06,1B10,WRITE-IN,24,1
2074,2018-11-06,1B11,OVER VOTES,0,1
2075,2018-11-06,1B11,Robb Hudson,556,1
2076,2018-11-06,1B11,UNDER VOTES,110,1
2077,2018-11-06,1B11,WRITE-IN,82,1
2078,2018-11-06,1B12,Dan Winston,847,1
2079,2018-11-06,1B12,OVER VOTES,1,1
2080,2018-11-06,1B12,UNDER VOTES,176,1
2081,2018-11-06,1B12,WRITE-IN,21,1
2082,2018-11-06,1C01,Amir Irani,808,1
2083,2018-11-06,1C01,OVER VOTES,0,1
2084,2018-11-06,1C01,UNDER VOTES,211,1
2085,2018-11-06,1C01,WRITE-IN,24,1
2086,2018-11-06,1C02,Bridget Pooley,502,1
2087,2018-11-06,1C02,Hector Huezo,361,1
2088,2018-11-06,1C02,OVER VOTES,0,1
2089,2018-11-06,1C02,UNDER VOTES,235,1
2090,2018-11-06,1C02,WRITE-IN,17,1
2091,2018-11-06,1C03,OVER VOTES,1,1
2092,2018-11-06,1C03,Ted Guthrie,711,1
2093,2018-11-06,1C03,UNDER VOTES,178,1
2094,2018-11-06,1C03,WRITE-IN,31,1
2095,2018-11-06,1C04,Douglas Ely,747,1
2096,2018-11-06,1C04,OVER VOTES,1,1
2097,2018-11-06,1C04,UNDER VOTES,226,1
2098,2018-11-06,1C04,WRITE-IN,32,1
2099,2018-11-06,1C05,Damiana Dendy,780,1
2100,2018-11-06,1C05,OVER VOTES,0,1
2101,2018-11-06,1C05,UNDER VOTES,169,1
2102,2018-11-06,1C05,WRITE-IN,43,1
2103,2018-11-06,1C06,Jake Grubman,118,1
2104,2018-11-06,1C06,Michaela Wright,726,1
2105,2018-11-06,1C06,OVER VOTES,1,1
2106,2018-11-06,1C06,UNDER VOTES,152,1
2107,2018-11-06,1C06,WRITE-IN,15,1
2108,2018-11-06,1C07,Japer Bowles,485,1
2109,2018-11-06,1C07,OVER VOTES,0,1
2110,2018-11-06,1C07,UNDER VOTES,141,1
2111,2018-11-06,1C07,WRITE-IN,14,1
2112,2018-11-06,1C07,Wilson Reynolds,332,1
2113,2018-11-06,1C08,Amanda Fox Perry,765,1
2114,2018-11-06,1C08,OVER VOTES,0,1
2115,2018-11-06,1C08,UNDER VOTES,140,1
2116,2018-11-06,1C08,WRITE-IN,29,1
2117,2018-11-06,1D01,Jon Stewart,754,1
2118,2018-11-06,1D01,OVER VOTES,0,1
2119,2018-11-06,1D01,UNDER VOTES,181,1
2120,2018-11-06,1D01,WRITE-IN,38,1
2121,2018-11-06,1D02,OVER VOTES,0,1
2122,2018-11-06,1D02,Robin Sandenburgh,416,1
2123,2018-11-06,1D02,UNDER VOTES,100,1
2124,2018-11-06,1D02,WRITE-IN,13,1
2125,2018-11-06,1D03,Jack McKay,564,1
2126,2018-11-06,1D03,Leila Corcoran,417,1
2127,2018-11-06,1D03,OVER VOTES,0,1
2128,2018-11-06,1D03,UNDER VOTES,87,1
2129,2018-11-06,1D03,WRITE-IN,7,1
2130,2018-11-06,1D04,Janina Olarte Quilacio,159,1
2131,2018-11-06,1D04,OVER VOTES,0,1
2132,2018-11-06,1D04,UNDER VOTES,212,1
2133,2018-11-06,1D04,WRITE-IN,17,1
2134,2018-11-06,1D04,Yasmin Romero-Latin,389,1
2135,2018-11-06,1D05,Chelsea A. Allinger,443,1
2136,2018-11-06,1D05,OVER VOTES,0,1
2137,2018-11-06,1D05,Stuart Karaffa,340,1
2138,2018-11-06,1D05,UNDER VOTES,172,1
2139,2018-11-06,1D05,WRITE-IN,21,1
2140,2018-11-06,2A01,OVER VOTES,0,2
2141,2018-11-06,2A01,Patrick Kennedy,98,2
2142,2018-11-06,2A01,UNDER VOTES,19,2
2143,2018-11-06,2A01,WRITE-IN,6,2
2144,2018-11-06,2A02,Nicole Goldin,490,2
2145,2018-11-06,2A02,OVER VOTES,0,2
2146,2018-11-06,2A02,UNDER VOTES,109,2
2147,2018-11-06,2A02,WRITE-IN,15,2
2148,2018-11-06,2A03,OVER VOTES,0,2
2149,2018-11-06,2A03,Trupti J. Patel,367,2
2150,2018-11-06,2A03,UNDER VOTES,99,2
2151,2018-11-06,2A03,WRITE-IN,30,2
2152,2018-11-06,2A04,Elena V. Son,226,2
2153,2018-11-06,2A04,OVER VOTES,0,2
2154,2018-11-06,2A04,UNDER VOTES,19,2
2155,2018-11-06,2A04,WRITE-IN,2,2
2156,2018-11-06,2A04,William K Smith,342,2
2157,2018-11-06,2A05,OVER VOTES,1,2
2158,2018-11-06,2A05,Philip J. Schrefer,210,2
2159,2018-11-06,2A05,UNDER VOTES,43,2
2160,2018-11-06,2A05,WRITE-IN,19,2
2161,2018-11-06,2A06,Jeri Epstein,381,2
2162,2018-11-06,2A06,OVER VOTES,0,2
2163,2018-11-06,2A06,UNDER VOTES,71,2
2164,2018-11-06,2A06,WRITE-IN,13,2
2165,2018-11-06,2A07,Detrick D Campbell,126,2
2166,2018-11-06,2A07,OVER VOTES,0,2
2167,2018-11-06,2A07,UNDER VOTES,24,2
2168,2018-11-06,2A07,WRITE-IN,6,2
2169,2018-11-06,2A08,NO CANDIDATE FILED,0,2
2170,2018-11-06,2A08,OVER VOTES,0,2
2171,2018-11-06,2A08,UNDER VOTES,88,2
2172,2018-11-06,2A08,WRITE-IN,21,2
2173,2018-11-06,2B01,Matthew H Sampson,595,2
2174,2018-11-06,2B01,OVER VOTES,0,2
2175,2018-11-06,2B01,UNDER VOTES,148,2
2176,2018-11-06,2B01,WRITE-IN,34,2
2177,2018-11-06,2B02,Daniel Warwick,513,2
2178,2018-11-06,2B02,OVER VOTES,0,2
2179,2018-11-06,2B02,UNDER VOTES,95,2
2180,2018-11-06,2B02,WRITE-IN,26,2
2181,2018-11-06,2B03,Lucky Barbieri,283,2
2182,2018-11-06,2B03,OVER VOTES,0,2
2183,2018-11-06,2B03,UNDER VOTES,186,2
2184,2018-11-06,2B03,Vincent E. Slatt,262,2
2185,2018-11-06,2B03,WRITE-IN,24,2
2186,2018-11-06,2B04,Aaron Landry,578,2
2187,2018-11-06,2B04,Nick Delle Donne,314,2
2188,2018-11-06,2B04,OVER VOTES,0,2
2189,2018-11-06,2B04,UNDER VOTES,108,2
2190,2018-11-06,2B04,WRITE-IN,12,2
2191,2018-11-06,2B05,OVER VOTES,0,2
2192,2018-11-06,2B05,Randy D Downs,621,2
2193,2018-11-06,2B05,UNDER VOTES,110,2
2194,2018-11-06,2B05,WRITE-IN,35,2
2195,2018-11-06,2B06,Mike Silverstein,574,2
2196,2018-11-06,2B06,OVER VOTES,0,2
2197,2018-11-06,2B06,UNDER VOTES,117,2
2198,2018-11-06,2B06,WRITE-IN,24,2
2199,2018-11-06,2B07,Kari Cunningham,692,2
2200,2018-11-06,2B07,OVER VOTES,0,2
2201,2018-11-06,2B07,UNDER VOTES,143,2
2202,2018-11-06,2B07,WRITE-IN,36,2
2203,2018-11-06,2B08,Beverly Schwartz,759,2
2204,2018-11-06,2B08,OVER VOTES,0,2
2205,2018-11-06,2B08,UNDER VOTES,138,2
2206,2018-11-06,2B08,WRITE-IN,50,2
2207,2018-11-06,2B09,Ed Hanlon,557,2
2208,2018-11-06,2B09,OVER VOTES,1,2
2209,2018-11-06,2B09,UNDER VOTES,121,2
2210,2018-11-06,2B09,WRITE-IN,325,2
2211,2018-11-06,2C01,John Tinpe,177,2
2212,2018-11-06,2C01,Michael D. Shankle,324,2
2213,2018-11-06,2C01,OVER VOTES,0,2
2214,2018-11-06,2C01,UNDER VOTES,146,2
2215,2018-11-06,2C01,WRITE-IN,14,2
2216,2018-11-06,2C02,Jamaal T. Burton,502,2
2217,2018-11-06,2C02,OVER VOTES,0,2
2218,2018-11-06,2C02,UNDER VOTES,116,2
2219,2018-11-06,2C02,WRITE-IN,18,2
2220,2018-11-06,2C03,Kevin Wilsey,425,2
2221,2018-11-06,2C03,OVER VOTES,0,2
2222,2018-11-06,2C03,UNDER VOTES,96,2
2223,2018-11-06,2C03,WRITE-IN,24,2
2224,2018-11-06,2D01,David R. Bender,441,2
2225,2018-11-06,2D01,OVER VOTES,0,2
2226,2018-11-06,2D01,UNDER VOTES,95,2
2227,2018-11-06,2D01,WRITE-IN,25,2
2228,2018-11-06,2D02,Jeff Nestler,257,2
2229,2018-11-06,2D02,OVER VOTES,0,2
2230,2018-11-06,2D02,Rick Guinee,185,2
2231,2018-11-06,2D02,UNDER VOTES,71,2
2232,2018-11-06,2D02,WRITE-IN,16,2
2233,2018-11-06,2E01,Ed Solomon,184,2
2234,2018-11-06,2E01,Kishan Putta,397,2
2235,2018-11-06,2E01,OVER VOTES,0,2
2236,2018-11-06,2E01,UNDER VOTES,12,2
2237,2018-11-06,2E01,WRITE-IN,5,2
2238,2018-11-06,2E02,Joe Gibbons,401,2
2239,2018-11-06,2E02,OVER VOTES,0,2
2240,2018-11-06,2E02,UNDER VOTES,80,2
2241,2018-11-06,2E02,WRITE-IN,28,2
2242,2018-11-06,2E03,OVER VOTES,0,2
2243,2018-11-06,2E03,Rick Murphy,373,2
2244,2018-11-06,2E03,UNDER VOTES,61,2
2245,2018-11-06,2E03,WRITE-IN,23,2
2246,2018-11-06,2E04,Anna Landre,4,2
2247,2018-11-06,2E04,OVER VOTES,0,2
2248,2018-11-06,2E04,UNDER VOTES,0,2
2249,2018-11-06,2E04,WRITE-IN,0,2
2250,2018-11-06,2E05,Lisa Palmer,282,2
2251,2018-11-06,2E05,OVER VOTES,0,2
2252,2018-11-06,2E05,UNDER VOTES,40,2
2253,2018-11-06,2E05,WRITE-IN,10,2
2254,2018-11-06,2E06,Gwendolyn Lohse,419,2
2255,2018-11-06,2E06,Jim Wilcox,215,2
2256,2018-11-06,2E06,OVER VOTES,0,2
2257,2018-11-06,2E06,UNDER VOTES,37,2
2258,2018-11-06,2E06,WRITE-IN,4,2
2259,2018-11-06,2E07,Elizabeth H. Miller,597,2
2260,2018-11-06,2E07,OVER VOTES,0,2
2261,2018-11-06,2E07,UNDER VOTES,124,2
2262,2018-11-06,2E07,WRITE-IN,35,2
2263,2018-11-06,2E08,NO CANDIDATE FILED,0,2
2264,2018-11-06,2E08,OVER VOTES,0,2
2265,2018-11-06,2E08,UNDER VOTES,117,2
2266,2018-11-06,2E08,WRITE-IN,25,2
2267,2018-11-06,2F01,Jason Forman,687,2
2268,2018-11-06,2F01,OVER VOTES,0,2
2269,2018-11-06,2F01,UNDER VOTES,151,2
2270,2018-11-06,2F01,WRITE-IN,32,2
2271,2018-11-06,2F02,John Guggenmos,674,2
2272,2018-11-06,2F02,OVER VOTES,0,2
2273,2018-11-06,2F02,UNDER VOTES,140,2
2274,2018-11-06,2F02,WRITE-IN,22,2
2275,2018-11-06,2F03,OVER VOTES,0,2
2276,2018-11-06,2F03,Tom Alexander,697,2
2277,2018-11-06,2F03,UNDER VOTES,170,2
2278,2018-11-06,2F03,WRITE-IN,25,2
2279,2018-11-06,2F04,John Fanning,707,2
2280,2018-11-06,2F04,OVER VOTES,0,2
2281,2018-11-06,2F04,UNDER VOTES,148,2
2282,2018-11-06,2F04,WRITE-IN,23,2
2283,2018-11-06,2F05,OVER VOTES,1,2
2284,2018-11-06,2F05,Ron Rubin,571,2
2285,2018-11-06,2F05,UNDER VOTES,163,2
2286,2018-11-06,2F05,WRITE-IN,21,2
2287,2018-11-06,2F06,Ian Simon,725,2
2288,2018-11-06,2F06,OVER VOTES,1,2
2289,2018-11-06,2F06,UNDER VOTES,125,2
2290,2018-11-06,2F06,WRITE-IN,36,2
2291,2018-11-06,2F07,Kevin J Sylvester,464,2
2292,2018-11-06,2F07,OVER VOTES,1,2
2293,2018-11-06,2F07,UNDER VOTES,117,2
2294,2018-11-06,2F07,WRITE-IN,24,2
2295,2018-11-06,2F08,Janice Ferebee,296,2
2296,2018-11-06,2F08,Kevin Wenzel,148,2
2297,2018-11-06,2F08,OVER VOTES,0,2
2298,2018-11-06,2F08,UNDER VOTES,111,2
2299,2018-11-06,2F08,WRITE-IN,10,2
2300,2018-11-06,3B01,Ann Lane Mladinov,600,3
2301,2018-11-06,3B01,OVER VOTES,0,3
2302,2018-11-06,3B01,UNDER VOTES,147,3
2303,2018-11-06,3B01,WRITE-IN,25,3
2304,2018-11-06,3B02,Jackie Blumenthal,514,3
2305,2018-11-06,3B02,OVER VOTES,0,3
2306,2018-11-06,3B02,UNDER VOTES,96,3
2307,2018-11-06,3B02,WRITE-IN,21,3
2308,2018-11-06,3B03,Melissa Lane,713,3
2309,2018-11-06,3B03,OVER VOTES,0,3
2310,2018-11-06,3B03,UNDER VOTES,122,3
2311,2018-11-06,3B03,WRITE-IN,18,3
2312,2018-11-06,3B04,Mary C. Young,883,3
2313,2018-11-06,3B04,OVER VOTES,0,3
2314,2018-11-06,3B04,UNDER VOTES,199,3
2315,2018-11-06,3B04,WRITE-IN,18,3
2316,2018-11-06,3B05,Brian G. Turmail,609,3
2317,2018-11-06,3B05,OVER VOTES,0,3
2318,2018-11-06,3B05,UNDER VOTES,107,3
2319,2018-11-06,3B05,WRITE-IN,22,3
2320,2018-11-06,3C01,John Grill,326,3
2321,2018-11-06,3C01,Lee Brian Reba,445,3
2322,2018-11-06,3C01,OVER VOTES,0,3
2323,2018-11-06,3C01,UNDER VOTES,177,3
2324,2018-11-06,3C01,WRITE-IN,18,3
2325,2018-11-06,3C02,Jason Fink,894,3
2326,2018-11-06,3C02,OVER VOTES,0,3
2327,2018-11-06,3C02,UNDER VOTES,216,3
2328,2018-11-06,3C02,WRITE-IN,31,3
2329,2018-11-06,3C03,Jimmy Dubois,769,3
2330,2018-11-06,3C03,OVER VOTES,1,3
2331,2018-11-06,3C03,UNDER VOTES,256,3
2332,2018-11-06,3C03,WRITE-IN,30,3
2333,2018-11-06,3C04,Beau Finley,687,3
2334,2018-11-06,3C04,OVER VOTES,0,3
2335,2018-11-06,3C04,UNDER VOTES,156,3
2336,2018-11-06,3C04,WRITE-IN,17,3
2337,2018-11-06,3C05,Emma Hersh,964,3
2338,2018-11-06,3C05,OVER VOTES,0,3
2339,2018-11-06,3C05,UNDER VOTES,171,3
2340,2018-11-06,3C05,WRITE-IN,46,3
2341,2018-11-06,3C06,Angela Bradbery,645,3
2342,2018-11-06,3C06,OVER VOTES,0,3
2343,2018-11-06,3C06,UNDER VOTES,88,3
2344,2018-11-06,3C06,WRITE-IN,134,3
2345,2018-11-06,3C07,Maureen Kinlan Boucher,593,3
2346,2018-11-06,3C07,OVER VOTES,0,3
2347,2018-11-06,3C07,UNDER VOTES,137,3
2348,2018-11-06,3C07,WRITE-IN,25,3
2349,2018-11-06,3C08,Marilyn V. Sheneman,135,3
2350,2018-11-06,3C08,OVER VOTES,2,3
2351,2018-11-06,3C08,UNDER VOTES,154,3
2352,2018-11-06,3C08,Victoria Gersten,474,3
2353,2018-11-06,3C08,WRITE-IN,11,3
2354,2018-11-06,3C09,Nancy J. MacWood,720,3
2355,2018-11-06,3C09,OVER VOTES,0,3
2356,2018-11-06,3C09,UNDER VOTES,151,3
2357,2018-11-06,3C09,WRITE-IN,40,3
2358,2018-11-06,3D01,Chuck Elkins,659,3
2359,2018-11-06,3D01,OVER VOTES,1,3
2360,2018-11-06,3D01,UNDER VOTES,162,3
2361,2018-11-06,3D01,WRITE-IN,18,3
2362,2018-11-06,3D02,OVER VOTES,1,3
2363,2018-11-06,3D02,Troy Kravitz,332,3
2364,2018-11-06,3D02,UNDER VOTES,67,3
2365,2018-11-06,3D02,WRITE-IN,27,3
2366,2018-11-06,3D03,OVER VOTES,0,3
2367,2018-11-06,3D03,Paige Ela,454,3
2368,2018-11-06,3D03,UNDER VOTES,213,3
2369,2018-11-06,3D03,WRITE-IN,30,3
2370,2018-11-06,3D04,Michael Sriqui,659,3
2371,2018-11-06,3D04,OVER VOTES,0,3
2372,2018-11-06,3D04,UNDER VOTES,136,3
2373,2018-11-06,3D04,WRITE-IN,50,3
2374,2018-11-06,3D05,Alan Karnofsky,490,3
2375,2018-11-06,3D05,Heather Gustafson,287,3
2376,2018-11-06,3D05,OVER VOTES,1,3
2377,2018-11-06,3D05,UNDER VOTES,41,3
2378,2018-11-06,3D05,WRITE-IN,6,3
2379,2018-11-06,3D06,NO CANDIDATE FILED,0,3
2380,2018-11-06,3D06,OVER VOTES,0,3
2381,2018-11-06,3D06,UNDER VOTES,416,3
2382,2018-11-06,3D06,WRITE-IN,134,3
2383,2018-11-06,3D07,OVER VOTES,0,3
2384,2018-11-06,3D07,Taylor Berlin,61,3
2385,2018-11-06,3D07,UNDER VOTES,9,3
2386,2018-11-06,3D07,WRITE-IN,0,3
2387,2018-11-06,3D08,Christine Warnke,484,3
2388,2018-11-06,3D08,OVER VOTES,0,3
2389,2018-11-06,3D08,UNDER VOTES,142,3
2390,2018-11-06,3D08,WRITE-IN,13,3
2391,2018-11-06,3D09,J.P. Szymkowicz,521,3
2392,2018-11-06,3D09,OVER VOTES,0,3
2393,2018-11-06,3D09,UNDER VOTES,160,3
2394,2018-11-06,3D09,WRITE-IN,46,3
2395,2018-11-06,3D10,NO CANDIDATE FILED,0,3
2396,2018-11-06,3D10,OVER VOTES,0,3
2397,2018-11-06,3D10,UNDER VOTES,174,3
2398,2018-11-06,3D10,WRITE-IN,31,3
2399,2018-11-06,3E01,Greg Ehrhardt,717,3
2400,2018-11-06,3E01,OVER VOTES,1,3
2401,2018-11-06,3E01,UNDER VOTES,232,3
2402,2018-11-06,3E01,WRITE-IN,61,3
2403,2018-11-06,3E02,Amy B. Hall,440,3
2404,2018-11-06,3E02,Elizabeth Callanan Mitchell,328,3
2405,2018-11-06,3E02,OVER VOTES,1,3
2406,2018-11-06,3E02,UNDER VOTES,134,3
2407,2018-11-06,3E02,WRITE-IN,11,3
2408,2018-11-06,3E03,Jonathan Bender,729,3
2409,2018-11-06,3E03,OVER VOTES,1,3
2410,2018-11-06,3E03,UNDER VOTES,136,3
2411,2018-11-06,3E03,WRITE-IN,49,3
2412,2018-11-06,3E04,OVER VOTES,0,3
2413,2018-11-06,3E04,Tom Quinn,775,3
2414,2018-11-06,3E04,UNDER VOTES,166,3
2415,2018-11-06,3E04,WRITE-IN,40,3
2416,2018-11-06,3E05,Jonathan McHugh,552,3
2417,2018-11-06,3E05,OVER VOTES,0,3
2418,2018-11-06,3E05,UNDER VOTES,119,3
2419,2018-11-06,3E05,WRITE-IN,33,3
2420,2018-11-06,3F01,David Dickinson,657,3
2421,2018-11-06,3F01,OVER VOTES,0,3
2422,2018-11-06,3F01,UNDER VOTES,181,3
2423,2018-11-06,3F01,WRITE-IN,30,3
2424,2018-11-06,3F02,Carolinn A Kuebler,643,3
2425,2018-11-06,3F02,Dave Donaldson,164,3
2426,2018-11-06,3F02,OVER VOTES,1,3
2427,2018-11-06,3F02,UNDER VOTES,100,3
2428,2018-11-06,3F02,WRITE-IN,6,3
