precinct,ward,anc,year,registered_voters,ballots
129,2,F,2012,3161,1803
130,6,B,2012,1520,991
130,6,C,2012,1520,991
131,6,B,2012,2380,1827
131,6,D,2012,2380,1827
132,7,B,2012,2608,1603
132,7,F,2012,2608,1603
133,8,A,2012,1751,1114
134,8,B,2012,2766,1614
135,5,E,2012,3859,2408
136,3,C,2012,1379,885
137,1,B,2012,1187,736
138,3,F,2012,3305,2148
138,3,G,2012,3305,2148
139,5,C,2012,2590,1737
140,8,A,2012,2528,1531
141,2,B,2012,3515,2163
142,6,D,2012,1934,1300
143,2,C,2012,2717,1691
1,6,C,2014,5562,1686
1,6,E,2014,5562,1686
2,2,A,2014,1350,320
3,2,A,2014,2397,972
4,2,A,2014,2976,1013
4,2,B,2014,2976,1013
5,2,E,2014,3738,1473
6,2,E,2014,4400,1366
7,3,D,2014,2206,869
8,3,D,2014,3753,1886
9,3,D,2014,2120,931
10,3,D,2014,2805,1353
11,3,B,2014,5775,1988
11,3,C,2014,5775,1988
12,3,B,2014,869,388
12,3,C,2014,869,388
13,2,D,2014,2093,954
14,2,B,2014,4350,1625
14,2,D,2014,4350,1625
15,2,B,2014,4256,1845
16,2,B,2014,4845,2100
16,2,F,2014,4845,2100
17,2,B,2014,7230,2437
17,2,C,2014,7230,2437
17,2,F,2014,7230,2437
18,6,E,2014,5509,2287
19,5,E,2014,5245,1952
20,1,B,2014,1617,466
21,6,E,2014,1492,551
22,1,B,2014,4986,2111
23,1,B,2014,3758,1476
24,1,C,2014,3433,1431
25,1,C,2014,5349,2587
26,3,C,2014,4171,1773
27,3,C,2014,3330,1684
27,3,F,2014,3330,1684
28,3,B,2014,3557,1797
28,3,C,2014,3557,1797
29,3,C,2014,1851,823
29,3,D,2014,1851,823
29,3,F,2014,1851,823
30,3,D,2014,1766,1045
30,3,E,2014,1766,1045
31,3,E,2014,3283,1809
32,3,E,2014,3636,1937
32,3,G,2014,3636,1937
33,3,E,2014,3981,2056
33,3,F,2014,3981,2056
34,3,C,2014,5236,2295
34,3,F,2014,5236,2295
35,1,C,2014,4638,1890
36,1,A,2014,5736,1949
36,1,B,2014,5736,1949
37,1,A,2014,4038,1271
37,1,B,2014,4038,1271
38,1,A,2014,3664,1261
39,1,A,2014,5460,2018
39,1,D,2014,5460,2018
40,1,D,2014,5386,2238
41,1,A,2014,4646,1577
42,1,A,2014,2358,926
43,1,A,2014,2149,864
44,5,A,2014,3758,1205
44,5,E,2014,3758,1205
45,4,C,2014,2723,1193
46,4,C,2014,3442,1416
46,4,D,2014,3442,1416
47,4,A,2014,3832,1559
47,4,C,2014,3832,1559
48,4,A,2014,3444,1508
48,4,C,2014,3444,1508
49,4,C,2014,1070,454
50,3,G,2014,2867,1501
51,4,G,2014,4475,2675
52,4,G,2014,1684,1032
53,4,A,2014,1610,714
53,4,C,2014,1610,714
54,4,C,2014,2923,1261
55,4,C,2014,2900,1158
55,4,D,2014,2900,1158
56,4,D,2014,3844,1452
57,4,B,2014,3043,1180
57,4,D,2014,3043,1180
58,4,B,2014,2729,1062
58,4,D,2014,2729,1062
59,4,B,2014,3109,1330
60,4,A,2014,2920,876
61,4,A,2014,1948,904
62,4,A,2014,3649,2154
63,4,B,2014,4249,1963
64,4,B,2014,2613,1281
65,4,B,2014,2902,1368
66,5,A,2014,5137,2317
67,5,A,2014,3501,1655
67,5,B,2014,3501,1655
68,5,A,2014,2462,1139
68,5,B,2014,2462,1139
69,5,B,2014,2462,1059
69,5,C,2014,2462,1059
70,5,B,2014,1733,821
70,5,C,2014,1733,821
71,5,C,2014,2793,1147
72,5,C,2014,5302,1601
73,5,B,2014,2360,1113
74,5,B,2014,5212,1753
74,5,E,2014,5212,1753
75,5,E,2014,4308,1546
76,5,C,2014,1679,353
76,5,D,2014,1679,353
77,5,D,2014,3387,1108
78,5,C,2014,3454,941
78,5,D,2014,3454,941
79,5,D,2014,2358,568
80,7,D,2014,1922,665
80,7,F,2014,1922,665
81,6,A,2014,6145,2262
82,6,A,2014,3449,1460
83,6,A,2014,5499,2279
83,6,C,2014,5499,2279
84,6,C,2014,3048,1456
