contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes
3B01,2012,3,B,01,NA,687,1,JOE FIORILLO,673,14,NA,NA
3B02,2012,3,B,02,NA,650,1,JACKIE BLUMENTHAL,622,28,NA,NA
3B03,2012,3,B,03,NA,687,1,CHARLES CINQUE FULWOOD,660,27,NA,NA
3B04,2012,3,B,04,NA,824,1,MARY C. YOUNG,801,23,NA,NA
3B05,2012,3,B,05,NA,733,1,BRIAN A. COHEN,692,41,NA,NA
3C01,2012,3,C,01,NA,804,1,LEE BRIAN REBA,781,23,NA,NA
3C02,2012,3,C,02,NA,751,2,GWENDOLYN BOLE,546,9,NA,NA
3C03,2012,3,C,03,NA,812,2,JEFFREY KALIEL,471,28,NA,NA
3C04,2012,3,C,04,NA,615,1,RICHARD STEACY,594,21,NA,NA
3C05,2012,3,C,05,NA,886,1,MARGARET A. SIEGEL,856,30,NA,NA
3C06,2012,3,C,06,NA,784,1,CARL ROLLER,757,27,NA,NA
3C07,2012,3,C,07,NA,676,1,VICTOR SILVEIRA,654,22,NA,NA
3C08,2012,3,C,08,NA,719,1,CATHERINE MAY,687,32,NA,NA
3C09,2012,3,C,09,NA,784,1,NANCY J. MACWOOD,755,29,NA,NA
3D01,2012,3,D,01,NA,957,2,KENT SLOWINSKI,531,7,NA,NA
3D02,2012,3,D,02,NA,448,1,TOM SMITH,429,19,NA,NA
3D03,2012,3,D,03,NA,643,1,NAN S. WELLS,619,24,NA,NA
3D04,2012,3,D,04,NA,757,1,STU ROSS,721,36,NA,NA
3D05,2012,3,D,05,NA,583,2,W. PHILIP THOMAS,355,50,NA,NA
3D06,2012,3,D,06,NA,193,0,WRITE-IN,193,193,NA,NA
3D07,2012,3,D,07,NA,54,0,WRITE-IN,54,54,NA,NA
3D08,2012,3,D,08,NA,505,1,MICHAEL GOLD,473,32,NA,NA
3D09,2012,3,D,09,NA,749,2,GAYLE TROTTER,686,12,NA,NA
3D10,2012,3,D,10,NA,253,2,JOE WISNIEWSKI,165,0,NA,NA
3E01,2012,3,E,01,NA,754,1,ELIZABETH S. HAILE,719,35,NA,NA
3E02,2012,3,E,02,NA,828,1,MATTHEW FRUMIN,804,24,NA,NA
3E03,2012,3,E,03,NA,729,1,JONATHAN BENDER,688,41,NA,NA
3E04,2012,3,E,04,NA,815,1,TOM QUINN,767,48,NA,NA
3E05,2012,3,E,05,NA,517,1,SAMUEL J. SEREBIN,474,43,NA,NA
3F01,2012,3,F,01,NA,621,1,ADAM SCOTT TOPE,604,17,NA,NA
3F02,2012,3,F,02,NA,686,1,KAREN LEE PERRY,665,21,NA,NA
3F03,2012,3,F,03,NA,782,1,MARY BETH RAY,746,36,NA,NA
3F04,2012,3,F,04,NA,550,2,SALLY W. GRESHAM,440,7,NA,NA
3F05,2012,3,F,05,NA,812,2,MANOLIS R. PRINIOTAKIS,581,5,NA,NA
3F06,2012,3,F,06,NA,696,1,DAVID SOLORZANO LOWELL,661,35,NA,NA
3F07,2012,3,F,07,NA,719,1,BOB SUMMERSGILL,703,16,NA,NA
3G01,2012,3,G,01,NA,916,1,CAROLYN "CALLIE" COOK,898,18,NA,NA
3G02,2012,3,G,02,NA,820,1,GARY THOMPSON,790,30,NA,NA
3G03,2012,3,G,03,NA,732,1,RANDY SPECK,702,30,NA,NA
3G04,2012,3,G,04,NA,857,1,ALLEN E. BEACH,824,33,NA,NA
3G05,2012,3,G,05,NA,860,1,DAVID ENGEL,822,38,NA,NA
3G06,2012,3,G,06,NA,696,1,JIM MCCARTHY,680,16,NA,NA
3G07,2012,3,G,07,NA,745,3,HENRY GRIFFIN,277,6,NA,NA
4A01,2012,4,A,01,NA,185,0,WRITE-IN,185,185,NA,NA
4A02,2012,4,A,02,NA,1139,1,DWAYNE M. TOLIVER,1113,26,NA,NA
4A03,2012,4,A,03,NA,688,1,STEPHEN A. "STEVE" WHATLEY,680,8,NA,NA
4A04,2012,4,A,04,NA,783,1,MARIAN C. BENNETT,763,20,NA,NA
4A05,2012,4,A,05,NA,62,0,WRITE-IN,62,62,NA,NA
4A06,2012,4,A,06,NA,426,1,KARRYE Y. BRAXTON,416,10,NA,NA
4A07,2012,4,A,07,NA,679,1,DAVE WILSON,663,16,NA,NA
4A08,2012,4,A,08,NA,1043,1,GALE BLACK,1018,25,NA,NA
4B01,2012,4,B,01,NA,979,2,SARA GREEN,766,10,NA,NA
4B02,2012,4,B,02,NA,868,1,FAITH E. WHEELER,835,33,NA,NA
4B03,2012,4,B,03,NA,986,1,FRED GRANT,964,22,NA,NA
4B04,2012,4,B,04,NA,1017,3,BRENDA DAWSON PARKS,601,20,NA,NA
4B05,2012,4,B,05,NA,689,1,BRENDA SPEAKS,666,23,NA,NA
4B06,2012,4,B,06,NA,934,1,RONALD (RON) AUSTIN,912,22,NA,NA
4B07,2012,4,B,07,NA,1048,2,JUDI JONES,651,18,NA,NA
4B08,2012,4,B,08,NA,991,1,YVONNE A. JEFFERSON,973,18,NA,NA
4B09,2012,4,B,09,NA,124,0,WRITE-IN,124,124,NA,NA
4C01,2012,4,C,01,NA,733,1,MICHAEL YATES,716,17,NA,NA
4C02,2012,4,C,02,NA,903,1,JANET M. MYERS,878,25,NA,NA
4C03,2012,4,C,03,NA,759,1,JEFF STANDISH,736,23,NA,NA
4C04,2012,4,C,04,NA,382,1,RICKEY WILLIAMS JR.,368,14,NA,NA
4C05,2012,4,C,05,NA,524,1,JOSEPH M. VAUGHAN,512,12,NA,NA
4C06,2012,4,C,06,NA,660,2,VANN-DI GALLOWAY,447,15,NA,NA
4C07,2012,4,C,07,NA,852,1,SHANEL O. ANTHONY,829,23,NA,NA
4C08,2012,4,C,08,NA,823,1,TIMOTHY A. JONES,795,28,NA,NA
4C09,2012,4,C,09,NA,832,2,ZACHARY HARTMAN,454,21,NA,NA
4C10,2012,4,C,10,NA,192,0,WRITE-IN,192,192,NA,NA
4D01,2012,4,D,01,NA,576,2,LAMONT AKINS,402,6,NA,NA
